A000A1_S452G5_R140E5 H520G4
A000A1_P426R6_I500N2 A000A1
A000A1_B430T4_H423R7 A530D3
A532R7_O500E3_I500N2 A000A1
A532R7_O500E3_I500N2 I530A5
A000A1_S243R8_A530D3 A400L3
A000A1_S243R8_A530D3 S200S6
A500N2_O524Y9_S000O2 D300D3
A000A1_M500N3_A251D11 B000Y2
A251D11_B000Y2_S164L7 O430D3
A124L7_G625N7_S120E5 T200E3
A000A1_P425Y10_T263Y7 E161S8
A530D3_S200E3_M532N10 W600Y5
A130T5_S200E3_A312D7 Y000U3
A312D7_Y000U3_M250N10 E632H8
A130T5_S200E3_M250N10 C635N7
A165T8_I300T2_W200S3 A412S6
A200E3_W323T7_K515G7 W200H5
A000A1_Q300T5_A600A4 O100F2
A000A1_Q300T5_A600A4 W320H4
A200S2_Y321L8_L252G7 A200S2
A200S2_H600R3_O230T5 T000O2
A530D3_G300T3_O624S9 Y000U3
A525T9_A300T2_S500E4 P613E7
A300T2_S500E4_P613E7 B300T3
A530D3_M250N10_W323D7 H600R3
A530D3_C513Y11_S635G7 O300T3
A130T5_T250N4_C252D7 H200S3
A436R5_A530D3_D613T5 O100F3
A530D3_D613T5_O100F3 I500N2
A530D3_D613T5_O100F3 T200E3
A356L7_U536R5_T200E3 I300T2
A530D3_E160R4_S000O2 H000E2
A530D3_E160R4_S000O2 A530D3
A530D3_E160R4_S000O2 S423Y8
A452T6_H100E4_F430T4 S600Y5
A142C10_L200K4_T230T4 S530D6
A142C10_L200K4_T230T4 S200E3
A500N2_A452T6_G414L7 E320E4
A452T6_G414L7_E320E4 T000O2
A530D3_E235D8_A000A1 T143T6
A530D3_E235D8_A000A1 S200E3
A530D3_E235D8_A000A1 G413D6
A530D3_E235D8_A000A1 S361R11
A000A1_T143T6_A163D6 I300T2
A163D6_I300T2_T652S5 O300T3
A140E4_T000O2_P625Y10 G300E5
A136R5_C135N7_M252N11 A230D5
A500N2_A234L6_B300T3 I000I1
A500N2_A234L6_B300T3 C135N7
A500N2_A234L6_B300T3 I300T2
A234L6_B300T3_I000I1 H100E4
A234L6_B300T3_I000I1 M230T4
A000A1_S261P5_R363T6 B300T3
A300T2_H500M3_G520G5 T000O2
A200S2_M200H4_D235E8 A200S2
A200S2_M200H4_D235E8 B315N7
A200S2_P214E8_B315N7 T252S10
A200S2_P214E8_B315N7 H200S3
A530D3_A532G8_F653R8 S263Y8
A532G8_F653R8_S263Y8 C430D5
A200S2_C416N13_W320H4 T200K4
A530D3_L230D6_A262S6 I300T2
A530D3_L230D6_A262S6 T200E3
A530D3_L230D6_A262S6 T000O2
A234L6_B300T3_C135N7 M252N11
A000A1_S365E7_E512S8 O500N2
A530D3_E200S4_T250N4 T200Y4
A530D3_C500N3_A162E10 Y600R4
A162E10_Y600R4_M516R8 L353T10
A136R5_A000A1_U536R5 T200E3
A500Y3_P420E6_P200S4 M000Y2
A530D3_A124L7_R365D8 T200E3
A124L7_R365D8_T200E3 C632Y8
A000A1_A530D3_S363E6 B624Y7
A100Y4_W323T7_S000O2 M200H4
A000A1_B216D8_M000Y2 B300T3
A530D3_S200E3_W230T4 I000I1
A530D3_S200E3_W230T4 I100F2
A530D3_S200E3_W230T4 A000A1
A530D3_S200E3_W230T4 W200S3
A263D6_S520S5_B500N4 A000A1
A530D3_C536R9_M214S11 N300D4
A400L3_O500N2_O600R3 A600E3
A600E3_L353T10_G362Z9 S530D7
A000A1_T300D3_A530D3 T200E3
A136R5_S532G9_E215E9 H300D3
A163D6_S200E3_B230T4 T200Y4
A530D3_E161S8_T230T4 H000E2
A230D5_O120S7_I300T2 A124L7
A124L7_S543D6_T252S6 J230T4
A000A1_O500E3_W000Y3 T000O2
A000A1_O500E3_W000Y3 O600R2
A000A1_P235N8_I250N4 T000O2
A130T5_I320S3_O540Y4 R251E11
A000A1_S353D8_G300E5 W430D5
A530D3_H242D11_A000A1 R300E5
A000A1_R300E5_T000O2 T260R5
A000A1_R300E5_T000O2 O326R5
A000A1_R300E5_T000O2 C620S5
A530D3_W260E5_T000O2 W230T4
A530D3_W260E5_T000O2 S530D4
A530D3_W260E5_T000O2 P420E5
A530D3_W260E5_T000O2 R365N6
A530D3_W260E5_T000O2 H300T3
A530D3_W260E5_T000O2 R200H4
A530D3_W230T4_D200S5 T200Y4
A000A1_M600E4_R265G10 I300T2
A500Y3_D342S7_F650M4 T260R5
A124L7_H652S6_A234Y8 W200S3
A234Y8_W200S3_A000A1 G300E5
A234Y8_W200S3_A000A1 L520H5
A234Y8_W200S3_A000A1 L300T3
A234Y8_W200S3_A000A1 W200O3
A234Y8_W200S3_A000A1 G624G8
A000A1_G300E5_F650M4 S250A5
A512E8_T200Y4_H300D3 T000O2
A500Y3_I523D7_O100F2 S215G7
A500Y3_I523D7_O100F2 D520G5
A500Y3_I523D7_O100F2 P652G8
A000A1_H242D11_R300E5 T000O2
A000A1_H242D11_R300E5 F650M4
A200S6_V534N11_B423T5 E562Y9
A000A1_S353D8_D200K4 M000Y2
