A452S6_L653D7_I300T2 D652G6
A343S6_F650M4_O326R5 L200Y5
A463Y7_K510W4_T200S4 S200E3
A530D3_W200E4_H500M3 U100P2
A530D3_W200E4_H500M3 Y000U3
A130T5_T250N4_S200E3 R516D10
A130T5_T250N4_S200E3 P300T3
A130T5_T250N4_S200E3 M630D7
A000A1_A535N9_O100F2 A000A1
A535N9_O100F2_A000A1 R400L4
A535N9_O100F2_A000A1 R160R6
A535N9_O100F2_A000A1 D300D4
A500N2_T264G9_C500E4 W320H4
A000A1_W630D4_W323T7 F400Y5
A000A1_W630D4_W323T7 A500N2
A323S10_A530D3_T200E3 P626M7
A530D3_T200E3_P626M7 B250N5
A530D3_T200E3_P626M7 W200S3
A463Y7_K510W4_W320H4 N100W3
A530D3_T500E4_P230D6 W323T7
A400L3_N230T5_L652G8 R400Y6
A463Y7_T252K5_I500N2 A000A1
A200S2_M500Y4_W632S5 I500N2
A530D3_J513D6_N640Y6 F415G8
A000A1_Q200K5_M614G9 T230T4
A300T2_M100E5_S200E3 W230E5
A300T2_M100E5_S200E3 W200S3
A400L3_N230T5_W200S3 S200E3
A520G5_H600R3_C452G7 T200E3
A530D3_P352G7_T230T4 I500N2
A300D5_A000A1_L300T3 O100F2
A463Y7_O164D10_W320H4 S000O2
A463Y7_O164D10_W320H4 T200E3
A000A1_B300D3_H600R3 C423T7
A000A1_G452E6_A530D3 W530T4
A000A1_G452E6_A530D3 T200E3
A000A1_G452E6_A530D3 A000A1
A000A1_G452E6_A530D3 I000I1
A000A1_G452E6_A530D3 L230T4
A530D3_W530T4_H600R3 T000O2
A463Y7_S200E3_T250N4 Z130D6
A000A1_D452T10_A530D3 S200E3
A000A1_H152G7_B140L4 O100F2
A463Y7_S300D6_O500N2 A000A1
A300T2_T200E3_A126D8 I500N2
A000A1_F630D5_E200G3 A530D3
A000A1_F630D5_E200G3 P623D7
A530D3_T100O3_P200S6 O100F2
A300E3_W320H4_A000A1 B452K5
A300E3_W320H4_A000A1 S212N9
A000A1_B452K5_L200K4 O500N2
A530D3_R420X5_B160E6 S200E3
A130T5_T260R5_O326R5 O326S6
A130T5_T260R5_O326R5 T250N4
A000A1_S124L7_D000Y3 F600R3
A343T5_S253S10_L652G8 T200S4
A520G5_A000A1_V600Y4 L200Y5
A532R7_L520E8_F650M4 T200E3
A500N2_C523N10_T000O2 J500E4
A530D3_F540Y6_S200E3 W200S3
A500N2_A450N5_T230T4 T200K4
A500N2_A450N5_T230T4 R400Y6
A500N2_A450N5_T230T4 M500N4
A500N2_A450N5_T230T4 T420S5
A450N5_T230T4_T200K4 A530D3
A530D3_A450E5_F600R3 S200E3
A450E5_F600R3_S200E3 H413D6
A520G5_T200E3_S362S5 W320H4
A520G5_T200E3_S362S5 A000A1
A520G5_T200E3_S362S5 T200Y4
A450N5_A530D3_S200E3 W200S3
A530D3_Z600A4_R230D7 T200E3
A000A1_C613D5_A463Y7 P252G7
A463Y7_P252G7_A530D3 T425G7
A530D3_T425G7_W430D6 T652G7
A525T12_W250N4_T423D6 A130T5
A000A1_L135E8_S153T5 L652G8
A000A1_L135E8_S153T5 T652G6
A343T5_C610W4_M516S7 F530D5
A000A1_A000A1_F452G7 O100F2
A000A1_A000A1_F452G7 O300T3
A200E3_T000O2_B000E2 L652G8
A200E3_T000O2_B000E2 E234Y7
A200E3_T000O2_B000E2 A000A1
A000A1_T232S8_O100F2 R145N9
A530D3_K130T4_S340L5 M514G8
A000A1_T264L6_W530T4 D150N4
A000A1_T264L6_W530T4 T262H7
A300T2_A500N2_E632H5 W530T4
A500N2_E632H5_W530T4 I523E6
A530D3_R523D8_I500N2 H600R3
A530D3_R523D8_I500N2 H000E2
A000A1_M200A5_F610P4 A530D3
A200K3_H600R3_W200Y3 S200E3
A200K3_H600R3_W200Y3 Y000U3
A530D3_S313D7_I100F2 A500E6
A500E6_S300D4_S000Y3 S200E3
A530D3_D216D10_A000A1 C656R6
A530D3_D216D10_A000A1 L620E5
A530D3_D216D10_A000A1 P126N7
A530D3_D216D10_A000A1 D420E9
A000A1_C656R6_A652R8 W200S3
A652R8_W200S3_N000O2 O500E3
A000A1_N121R9_O500N2 T200E3
A500N2_A236T9_S200E3 S253D7
A236T9_S200E3_S253D7 T200E3
A000A1_S540L5_S121P9 H300D3
A530D3_T200E3_F320E7 H300D3
A000A1_S524E6_I520E5 F650M4
A000A1_S524E6_I520E5 T262H7
A000A1_S524E6_I520E5 T000O2
A530D3_T200E3_H345E8 W200S3
A252G6_W232R7_I300T2 W200S3
A000A1_T412N10_I300T2 S213D6
A000A1_H421R10_O600R2 I300T2
A000A1_L530D6_T652G6 T000O2
A200S2_I300T2_B000Y2 T230T4
A400L3_B525G8_A653D6 T200E3
A653D6_T200E3_M500N3 I500N2
A653D6_T200E3_M500N3 M000Y3
A653D6_T100O3_N100W3 M500N3
A000A1_N610Y6_S200E3 L230D6
A000A1_N610Y6_S200E3 A230D5
A000A1_L300T3_S363D6 A300T2
A300T2_A200E3_H300D3 B500N4
A200E3_H300D3_B500N4 A000A1
A000A1_C536L13_C200E6 I500N2
A000A1_M250N7_A300T2 A200E3
A300T2_A200E3_P612Y10 T200E3
A200E3_P612Y10_T200E3 O432T6
A236T9_H300D3_B500N4 A000A1
