A436G8_I320S3_R235S9 B230D5
A600E3_M431E8_S500E4 O100F2
A235S11_O100F2_S000E3 C425N9
A500N2_I535L11_C635N8 O100F2
A000A1_I423T7_C254L7 O100F2
A200S2_U516L9_A200S2 I300T2
A200S2_U516L9_A200S2 D650M5
A130T5_L620E5_O545E6 B252S8
A353D9_O600R2_C536D9 T000O2
A200S2_T200H6_O545E6 S612S8
A600E3_B652G8_B625S8 T000O2
A530D3_Y300T3_W432H6 D216Y9
A200S2_Q300E5_T200E3 F520S6
A200S2_Q300E5_T200E3 T200E4
A200S2_Q300E5_T200E3 C514T10
A530D3_S000O2_B620S5 A000A1
A000A1_S546Y10_T000O2 T200E3
A200E3_I200S2_M600E4 A000A1
A000A1_T623Y7_O100F2 T200E3
A000A1_A000A1_T264L6 T230T4
A000A1_T264L6_T230T4 G630T7
A413D7_T000O2_O162E9 O500N2
A130T5_A500N2_I516N11 C120S4
A500N2_I516N11_C120S4 G300T3
A000A1_T250N5_F100W3 M230T5
A500N2_A452T6_S263D6 S320S6
A452T6_S263D6_S320S6 I500N2
A000A1_V536E7_C134L7 F650M4
A316E9_T230T4_I300T2 I200S2
A412S6_H652G7_T230T4 T200S4
A140Y5_T200E3_E236E7 E125S12
A600A4_O100F2_E531R8 I500N2
A600E3_L130T4_M600E4 T250N4
A530D3_O326R5_M300A5 E640Y5
A200S2_N320S5_I500N2 A000A1
A000A1_S250E6_R500N3 B000Y2
A426S10_A352D12_B000Y2 I526E9
A352D12_B000Y2_I526E9 T000O2
A000A1_L260R6_P265L14 P252S10
A600E3_C523D11_B200E7 T200Y4
A200S2_T200E3_N316K7 A200E3
A200S2_T200E3_N316K7 N316K7
A200S2_T200E3_N316K7 L300T6
A200E3_B300T3_W200Y3 S243D6
A000A1_W000E2_D141E7 T163D6
A500N2_U524L7_V532E7 P530T5
A200S2_I300T2_D652G6 T200E3
A530D3_E640Y5_I000I1 W200S3
A530D3_W200S3_C430D6 O500N2
A530D3_W200S3_C430D6 A530D3
A530D3_E160Y5_S120S7 O100F2
A200S2_A500N2_I531L10 O600R2
A200S2_A500N2_I531L10 E453T7
A200S2_A500N2_I531L10 I500N2
A200S2_A500N2_I531L10 W400L4
A200S2_A500N2_I531L10 M360R6
A500N2_I531L10_O600R2 A200S2
A000A1_W320H4_F500E6 M260R5
A530D3_H320E5_I000I1 A420O4
A420O4_H413D6_C630E6 A000A1
A000A1_S363P7_T230T4 G240E6
A000A1_S363P7_T230T4 U435Y10
A000A1_S363P7_T230T4 H120S5
A530D3_S613D6_I500N2 T200E3
A235C8_C526M10_C526D9 W320H4
A212T6_O100F2_M252G6 T200E3
A100Y4_W320H4_F650M4 H152G6
A000A1_R423N11_T230T4 T200Y4
A400L3_R562Y10_A250N5 A530D3
A530D3_C523D11_B000Y2 D234L7
A500N2_A525G7_B300T3 T200Y4
A500N2_A525G7_B300T3 S200E3
A500N2_A525G7_B300T3 A263E8
A525G7_B300T3_T200Y4 W600E4
A420O4_E150N4_B000Y2 T200E3
A532G8_N100W3_U536R5 T200E3
A412S6_B500N4_W320H4 W250N4
A500M2_N300T3_S125G8 A200S2
A000A1_I000I1_L100E5 I300T2
A600E3_N100W3_O135S7 F600R3
A141E9_N100W3_T230T4 W600E4
A141E9_I500N2_O326R5 C523D10
A141E9_I500N2_O326R5 I100F2
A200S2_E640Y5_E251E7 O100F2
A500N2_I532Y8_O500N2 A000A1
A000A1_S240L6_N316G10 O600R2
A000A1_S240L6_N316G10 I500N2
A500Y3_D500N3_O100F2 M325S14
A000A1_A530D3_C526N7 T230T4
A460E6_O100F2_P600E4 N316D9
A530D3_E565S8_A532S7 O100F2
A532S7_O100F2_C513N11 W400L4
A165E10_O100F2_S620H6 T200E3
A130T5_M200H4_C523R8 T230T4
A523S9_I500N2_A562N8 T252G8
A562N8_T252G8_C526D9 T200E3
A000A1_T263D5_W643D5 S616S7
A200S2_A000A1_M512G13 E252C8
A000A1_M512G13_E252C8 I536E15
A130D5_A000A1_H300T3 S161R10
A000A1_H300T3_S161R10 B300T3
A500M2_N300T3_A300T2 A400L3
A500M2_N300T3_A300T2 L163Y7
A300T2_A400L3_S520G6 C250A5
A300T2_A400L3_S520G6 T200E3
A400L3_S520G6_C250A5 I200S2
A100E5_S650N5_S616S7 C500N3
A210E7_M000Y2_A625T8 I200S2
A412S6_D000O2_O135N5 T200Y4
A251H10_G630T5_G300D4 I500N2
A000A1_P124E8_I530O4 W643D5
A500N2_O254L10_C524G10 A253T10
A253T10_I500N2_T200E3 V000A3
A253T10_I500N2_T200E3 L100P4
A253T10_I500N2_T200E3 S500E4
A253T10_I500N2_T200E3 T230T4
A253T10_I500N2_T200E3 F523N8
A253T10_I500N2_T200E3 P631E9
A253T10_I500N2_T200E3 D623N9
A253T10_I500N2_T200E3 I000I1
A000A1_S425N7_V400Y6 T252K5
A000A1_S425N7_V400Y6 T200E3
A000A1_S425N7_V400Y6 F260E6
A000A1_P631L12_V625N7 O100F2
A530D3_T230T4_W320H4 D234L7
A530D3_T230T4_W320H4 S365R13
A530D3_T230T4_W320H4 M500N3
A530D3_T230T4_W320H4 I320S3
A130T5_S514E6_B300T3 V414E8
A300T2_W230T4_C430D5 B000E2
A530D3_W250N4_A530D3 F600R3
A530D3_W250N4_A530D3 S352G7
A500Y3_L340E6_P635N7 O100F2
A123D8_B000Y2_B300T3 B000Y2
A500N2_G414L6_P236E7 T200S4
A530D3_D416Y8_W320H4 T200E3
A530D3_I526D9_P625N9 O100F2
A500N2_A320K6_S120E7 Y000U3
A320K6_S120E7_Y000U3 R500N3
A530D3_S300D6_Y600R4 P620E5
A200S2_Y000U3_T653D6 O300T3
A200S2_Y000U3_T653D6 T000O2
A130T5_W230T4_R400L4 B350M6
A213T6_T200E3_E150N4 T200H6
A000A1_S514G8_O100F2 I516N11
A000A1_S514G8_O100F2 F362S8
A130T5_A000A1_S235M6 I200S2
A130T5_A000A1_S235M6 T250N4
A500N2_A162E11_M340L5 O100F2
A162E11_M340L5_O100F2 T230T4
A500Y3_I516N11_A130T5 T230T4
A500Y3_I516N11_A130T5 S353T7
A500Y3_I516N11_A130T5 T200E3
A500Y3_I516N11_A130T5 H435N6
A130T5_T230T4_P625N6 B520G5
A000A1_P630Y5_M230T5 Y430D5
A000A1_W240E5_P236E7 I200S2
A530D3_P163D7_U100P2 T260R5
