C532T7_G653D6_I200S2 S300T3
C636S9_Y600R4_T500E4 S363S6
C252R10_S340L5_H430D4 E256A9
C452S6_L653D7_N325G7 I500N2
C350N7_A530D3_S532G9 A130T5
C250N6_W200S3_T153Y6 F300T4
C516D9_M000Y2_K200S4 A600E3
C636E8_T230T4_L230D6 L200E4
C623E9_L130T5_O300T3 O100F2
C636E8_S430D6_T262H7 T250M4
C230T5_I500N2_C626K10 W320H4
C626K10_W320H4_R260R5 S261P5
C623D7_A252T7_E200H4 O326R5
C626K10_H300D3_I526D7 Y000U3
C230T5_W600E4_H000E2 H300D3
C432H5_W613D7_A653D6 H500M3
C432H5_U230D4_T000O2 F435N7
C100P3_S210E5_T230T4 S200E3
C500E4_W410F4_I300T2 W200S3
C635N7_N500E4_O100F2 T200E5
C636S9_C430D5_B000E2 H653D6
C430D5_B000E2_H653D6 U252G5
C613D5_W200S3_I000I1 G452D7
C453R8_O100F2_L200E4 A400L3
C626K10_A100Y4_W323T7 H635G7
C300T3_A000A1_P420G4 O100F2
C500E4_W320H4_N340Y6 F625N6
C413D7_L300D4_E520H6 F600R3
C252R10_H300D3_H430D4 I300T2
C653T7_S210E5_B000Y2 A000A1
C635G8_I300T2_W200S3 I526E10
C261Y10_S430E6_M000E2 A530D3
C300T3_I530O4_I300T2 T200E4
C300T3_I530O4_I300T2 T000O2
C636E8_M230D6_M000E2 B000Y2
C620C4_L200G3_I000I1 T230D7
C626K10_R236D8_F650M4 I320S3
C252R10_T200K4_M000Y2 K000Y3
C613D5_W200H5_I000I1 T230T7
C514Y10_T260E5_W200S3 A520H7
C514Y10_T260E5_W200S3 N000O2
C613D5_H300D3_B250E6 T200H6
C516S13_H230D6_A653D6 E235N5
C430D5_I000I1_W536D8 I100F2
C514N8_A130T5_M000Y2 B100B3
C430D5_R500N3_A136R5 H500M3
C530T7_A530D3_R513D7 M000Y2
C424E9_T200E3_F540L5 Y000U3
C200E6_E160Y5_N300T3 N264Y11
C532S8_G100E4_M000E2 T200E3
C530T6_L100E5_Y600R4 Q636S8
C423D6_O500N2_L152G7 M000E2
C430D5_A230D5_T250M4 T000O2
C235S7_O100F2_M000Y2 W000E2
C520C5_I200S2_A500N2 O135T8
C514X7_K530D4_O100F2 Y000U3
C235M6_O500N2_M000Y2 W643D5
C235M6_O500N2_M000Y2 O500N2
C432H5_S200E3_U230D4 F600R3
C630D4_F600E4_T230T4 H430D4
C630D4_H435G7_H600R3 S263S6
C430D5_P430D6_A300T2 M000Y2
C635Y9_C514D10_A300T2 A500Y3
C514D10_A300T2_A500Y3 B300T3
C300T3_Y600R4_S352G8 A300T2
C252E6_T000O2_P610E5 Y000U3
C252E6_T000O2_P610E5 T250M4
C453D7_A530D3_Y000U3 D300D3
C423D6_S453Y8_B253D6 W530T4
C252S11_W632S5_T000O2 H630T5
C252R10_L230D6_O500N2 M000E2
C526S15_A530D3_T200E3 C252R10
C252R10_G100E4_H500M3 A000A1
C252R10_A530D3_H200S3 B520H5
C513N11_T000O2_S300T3 A452E9
C530T7_W430D5_H100E4 D615N6
C430D5_P400Y4_A300T2 T230T4
C430D5_P400Y4_A300T2 T200E3
