J560Y7_A530D3_L352G7 T263L11
J520S5_C231K8_I500N2 A530D3
J250N4_C261T9_A530D3 E652T6
J654L7_T200E3_E160R3 A521R6
J323D6_B000Y2_T200E3 D260E6
J323D6_B000Y2_T200E3 S532S6
J654L7_E534D8_M252S9 A530D3
J230T4_B250N5_T200S4 W200K4
J231Y7_T260R5_C524N10 T230T4
J250N4_A621D9_N000O2 E453Y10
J635N6_T200K4_T200E3 C152N10
J230T4_P142D9_I500N2 Y000U3
J230T4_C430D6_O100F2 O600R3
J230T4_N000O2_I536Y12 B315N7
J500E4_A530D3_A230T6 H300D3
J654L7_W240E5_T260E5 R530D8
J560Y7_B260R4_R365D8 T000O2
J560Y7_T100O3_D200S4 B160E6
J250N4_W246R7_F650M4 P652N9
J530D6_T200E3_I523E9 F600R3
J100W3_H350N6_I500N2 T200E3
J325T9_T200E3_R300O5 A236S11
J230T4_T260E5_O100F2 T200E3
J230T4_T260E5_O100F2 T250M4
J250N4_S316T7_H300D3 D216D10
J250N4_B400L4_W200S3 S513C11
J520G7_T200E3_R262H8 F243Y8
J530D6_T200E3_A562N8 C523T9
J500E4_T200E3_U516Y10 C200E5
J400Y4_J230T4_F600R4 M532S6
J250N4_V500N3_E432T6 O100F2
J120H6_S500N3_W200S3 A000A1
J400Y4_I500N2_J250N4 S316T7
J250N4_S316T7_B400L4 W200S3
J250N4_S316T7_B400L4 I500N2
J250N4_S316T7_B400L4 C500E4
J250N4_W200S3_T200E3 O540Y4
J250N4_W200S3_T200E3 L600A4
J100B3_W200S3_D252G9 P632E8
J100B3_D252G9_P632E8 T230T4
J230T4_T100O3_P214E8 S150N4
J230T4_T200E3_N654L6 T260E5
J654L7_T000O2_G300T3 N323D7
J654L7_T230T4_A234Y8 P300D4
J400Y4_I300T2_W630E5 A530D5
J250N4_T250N4_E214D9 T230T4
J100B3_D520G5_R300O5 W250N4
J230T4_L200E4_E423S9 A530D3
J230T4_A000A1_G630E8 S353T7
J230T4_T100O3_T260E5 E232S6
J230T4_T100O3_T260E5 M230T4
J230T4_A200S2_Q535M7 M252S9
J654L7_I500N2_A164L5 A450N5
J500N4_W200S3_C232C7 J325T9
J325T9_O500N2_D650M5 O100F2
J250N4_C426R7_W200S3 O135N5
J400Y4_W320H4_A500N2 A251G12
J250N4_I300T2_W200S3 H200S3
J230T4_W625G7_O300T3 T200E3
J400Y4_D652G6_A000A1 C516E10
J512S5_A530D3_A352C6 E562Y6
J230T4_M520S7_T000O2 O135N6
J250N4_S436R6_P612E7 T230T4
J635N6_O165G8_A000A1 D343D8
J250N4_V500N3_B200K4 M325L12
J620Y6_F600R3_A000A1 S234D9
J654L7_F600R3_T252G8 P200S7
J520S5_E523N8_A300T2 T200E3
J560Y7_G650Y7_H251G10 I200S2
J250N4_D216Y9_T230T4 A500Y3
J654L7_O100F2_M365N6 A300T2
J654L7_O100F2_M365N6 T230T7
J250N4_C426R7_A530D3 S363T6
J250N4_B400L4_I500N2 C526G10
J250N4_B400L4_I500N2 T230T4
J400E5_A000A1_P240L8 Q530Y8
J230T4_P614S13_O100F2 O135G9
J420S6_O100F2_E423L10 E562Y6
J510P4_B315N7_D165T9 T200E3
J400Y4_S510W4_Q300D6 P200S4
J520K5_Q300D6_H163T7 Q300D6
J525L10_A530D3_M265H10 Q300D6
J520S5_A621E7_F600R3 T200E3
J520S5_A210P4_S135R9 P353T6
J230T4_J400Y4_T200E3 A316T6
J400Y4_T200E3_A316T6 A163D8
J560Y7_L360R6_F650M4 E523N8
J500E4_P612L8_F600R3 M516P10
J500E4_A530D3_S253D6 B000Y2
J500E4_I500N2_E523N8 P142D9
J210B5_L100B4_T000O2 M620H5
J210B5_M000Y3_L360R6 F650M4
J560R6_Q300D6_L360R6 F650M4
J500E4_L360R6_F650M4 E523N8
J500E4_L360R6_F650M4 B260R4
J500E4_L360R6_F650M4 P400I5
J500E4_P200S4_Q300D6 L360R6
J500E4_P200S4_Q300D6 S520E5
J560Y7_B300T3_F523D8 O500N2
J520S5_C462K5_F520S6 A542S8
J400Y4_Q535M7_M626E9 A200E4
J560Y7_M626E9_A200E4 B260R4
J560Y7_M626E9_A210P4 J560Y7
J560Y7_R253L8_B260R4 D230D7
J400Y4_N420S5_A210P4 N151R8
J420S6_O100F2_A000A1 L230T5
J560Y7_N420S5_A210P4 O231R7
J252S8_R316G7_D141D9 A000A1
J560R6_Q300D6_M260A5 A530D3
J400Y4_L360R6_F650M4 E523N8
J530D6_B000Y2_J150N5 I340Y5
J150N5_I340Y5_P632L8 A530D3
J400Y4_B650N4_L360R6 F650M4
J560Y7_A542Y7_C632Y8 O100F2
J500M3_B230T7_B650N4 L360R6
J560Y7_Q300D6_Q300D6 L360R6
J500E4_A530D3_S135R9 L360R6
J500E4_A530D3_S135R9 E523N8
J400Y4_S000E3_L360R6 F650M4
J400Y4_E523N8_F652H6 A530D3
J520S5_J400Y4_M600E5 Q300D6
