O100F2_D000E2_G162E13 S264S11
O121F5_N300T4_H300T3 A362S5
O524E8_T415R14_I500N2 I500N2
O162G8_A420S3_N600R4 E500N3
O100F2_M300T3_W520G6 S415N6
O523T6_E500N3_G621D8 E500N2
O100P2_Z200K3_T000E2 H200J3
O100P2_Z200K3_T000E2 Z250N4
O200K3_D000E3_E420K3 T162S10
O250N6_O160R4_D000E3 V600E5
O500M2_D000E2_S300A4 T000E2
O100F2_D525N6_O100P2 D200G3
O100P2_D200G3_H200J3 S262K6
O520S3_I500N2_S514E7 B163N12
O526E6_D000E3_M345N12 V500N3
O650N4_N600R4_H300T3 G230D6
O524K10_I530D6_A536S6 K500N3
O524L8_H300D3_O536R5 H300T3
O536R5_H300T3_L236D10 O600R3
O531N10_O160R4_D000E2 G520G4
O100F2_P612R9_N140E7 T650N7
O516K14_V600R4_Z000I3 O520S3
O520S3_E500N3_G630T5 L230T5
O520S3_E500N3_G630T5 P426R7
O100P2_D000E2_S434L7 Z300T3
O100P2_D000E2_S434L7 Z000U3
O625L9_A420S3_M600R4 B216T8
O542G10_V500N3_H300T3 T612L7
O100P2_D000E2_I353T16 V500N3
O100P2_D000E2_I353T16 M300T3
O500M2_E625S6_E425R8 D000E2
O100F2_D653T11_H300T3 W200S3
O160R4_D000E2_G142S6 E500N2
O160R4_D000E2_N562S7 V500N3
O162T8_S353D5_H300T3 E600R2
O100F2_W600R4_V626R7 W625K14
O161G8_M252R8_H350N6 H500N3
O160R4_D000E2_K514N13 T000E2
O521N8_Z532S7_I500N2 E500N3
O521N8_T632S5_E500N2 N216G9
O100P2_H500N3_R130E9 E500N2
O100P2_H325N7_D000E2 T630E8
O100P2_H325N7_D000E2 A536E6
O500M2_H300T3_G140L5 O150N4
O150N4_T000E2_P620S5 M252R8
O200K3_Z250N4_A536E6 V300T4
O100F2_M600R4_T152S6 E500N3
O165G9_L232G6_T000E2 V450N6
O152E11_D600R4_A500N3 H300T3
O516K14_H300T3_T460R6 G500N4
O100P2_D000E3_B362K12 G630E5
