S514D10_V625N7_A234Y8 H152G9
S500E4_O123T6_T261S6 A500N2
S134E6_V456Y13_I500N2 T200S4
S320C6_V300D4_E536R5 B400L4
S320C6_V300D4_E536R5 W532S5
S526N15_T200E3_S526N15 O123T6
S526N15_O123T6_V214E7 T000O2
S526G13_S123T7_T000O2 O500E3
S123T7_T000O2_O500E3 H630D4
S526G13_O123T6_I200S2 T124Y9
S320C6_T200E3_S526G13 O123T6
S526G13_O123T6_C500N3 D140E6
S210E5_A530D3_G654Y11 O100F2
S526N15_L200K4_L200K4 F600R3
S100P4_T262H7_A142N11 D500N6
S526G13_O123T6_I324F6 I500N2
S263D6_E150N4_I500N2 T200E3
S514T8_A253T10_O163N9 O500N2
S524E6_M230T4_C523R8 I500N2
S320C6_V300D4_L200K4 S320C6
S320C6_V300D4_L200K4 T100O3
S320C6_V300D4_L200K4 L200K4
S200H4_A200S2_I526G12 A000A1
S200H4_O135S13_C252E6 T200E3
S253D6_P614M7_B200E7 I300T2
S526N15_S000O2_I100F2 Y600R4
S000Y3_T200E3_V614S9 A600E3
S120E7_F432S6_A530D3 A600E3
S500E4_E242E9_A352Y9 P613D8
S435N8_F600R3_M600E4 C514X7
S353S10_H100E4_L252G7 I200S2
S000O2_N326R7_C500N3 T200E3
S353D8_H235G7_I200S2 N300T3
S616R6_A530D3_D200S4 N300T3
S121D9_A000A1_L252G7 T200E3
S600E4_W230T4_L200S5 Y600R4
S200H4_P365S8_C630E6 C400L4
S256O8_J230T4_A000A1 B360R6
S000E3_I500N2_S535S9 T260E5
S526N15_O135S7_S200H4 A200S2
S134Y6_T200S4_I200S2 N300T3
S256O8_A620S6_W250N4 C452G7
S500E4_A000A1_D342K8 W400L4
S514Y6_B000Y2_C452G7 I523D7
S132H6_M120S5_T200E3 O162D8
S500E4_T263D6_T230T4 O135D8
S500E4_T263D6_T230T4 O625Y10
S514Y6_C400L4_O600R2 A500N2
S514Y6_C400L4_O600R2 O500N2
S320C6_V300D4_N520G6 A000A1
S253S7_I100F2_I500N2 C200E4
S235G8_I100F2_I523E8 O100F2
S320C6_V300D4_P620S5 E536R5
S500E4_T654L8_S616R6 T000O2
S616R6_T000O2_M200E4 I300T2
S616R6_P612X6_I320S3 N500E4
S130Y6_I200S2_A213D8 P656Y9
S130Y6_C500N3_B000E2 P632Y12
S130Y6_C500N3_E534L6 A000A1
S130Y6_I200S2_T200S4 U240Y7
S261E9_G654Y11_B000Y2 W615G8
S235S8_O100F2_A200S6 T000O2
S524E6_E242E9_E516G9 S642D10
S642D10_A200S6_A300T2 A000A1
S500E4_E242E9_T000O2 P632T7
S435N8_W620S5_W400L4 I100F2
S165E11_T263D6_T124Y9 W320H4
S520E5_M431E8_C453T6 R232S8
S616R6_M323S7_T200Y4 C400L4
S342S9_D250N6_F600R3 R252S7
S520E5_C420S7_D000O2 N300T3
S320C6_F432S6_O500E3 M000Y3
S200H4_A200S2_A325N14 A530D3
S263D6_S300E5_O500N2 T200E3
S100W3_I500N2_A252S12 F523S9
S130Y6_I200S2_T000O2 U200E3
S124S8_A530D3_A140Y5 T200E3
S514C10_A353C9_L252G7 R250E6
S130Y6_A530D3_F651K9 S130Y6
S130Y6_A530D3_F651K9 C500N3
S543Y14_A300D3_A500N2 I350M4
S500E4_T250N4_E563E9 T200E3
S320C6_L230T4_N100W3 L230T4
S000S1_I500N2_T200S4 L252G7
S000E3_A653D6_A653D6 Y000U3
S353T9_I200S2_C635Y9 T200E3
S353T9_W430D5_H100E4 T000O2
S500E4_L200K4_W430D5 T250N4
S353T9_W430D5_A420O4 N300D4
S130Y6_A653D6_A252G9 A000A1
