S200E3_E562D7_I000I1 R263D9
S600I4_A530D3_E236A5 A530D3
S300E4_P630T4_O500N2 T100P3
S200H4_D235N11_I500N2 T200E3
S164L7_B420S6_D150N4 M232S13
S363T6_W260E5_F600R3 S000O2
S000O2_M500Y4_N232S6 I000I1
S315G8_A300T2_S200H4 A000A1
S500E4_L520G4_W300T4 A200S2
S545G7_W320H4_H600R3 B623T6
S300T3_I000I1_T200K4 M000Y2
S200K5_M000Y2_C430D6 T200E3
S000Y3_T000O2_S353D7 A200S2
S000O2_T230T4_C613T5 H300D3
S353D5_R200E4_T000O2 H600R3
S600I4_O160R4_H600R3 H300D4
S600I4_O160R4_H600R3 O600R2
S520E5_H600R3_I000I1 F430T4
S365R8_T230T4_M500E4 W430D5
S521W7_T000O2_E214N7 T200S4
S340L5_S263G12_M400A4 F650M4
S263G12_M400A4_F650M4 T100P3
S323D7_O500N2_H600R3 I000I1
S200E3_W430D5_O123T6 I000I1
S340L5_V130D5_O500N2 A400L3
S000O2_A530D3_C613T5 D300D3
S340L5_F653S7_W000E2 D216D10
S430D4_F620H5_F200H4 O500N2
S210P4_I500N2_H616D7 S260E6
S210P4_I500N2_H616D7 T200E3
S260E6_C430D6_S430D4 B000Y3
S430D4_B000Y3_L120S6 A530D3
S413S9_D613T5_A262S6 T200E3
S200E3_C430D5_S530D4 T250M4
S200Y3_A300T2_F623T5 B300T3
S420E6_I500N2_E200H4 I000I1
S362S7_A130T5_M000Y2 S200E3
S164L7_T250N4_T200E5 S200X3
S560R6_W600E4_A463Y7 A000A1
S363D7_M200H4_M400A4 A530D3
S363T6_M200H4_L200E4 I500N2
S363T6_M200H4_L200E4 A500Y3
S120S5_U200S2_F650M4 B520G6
S240L6_S263Y8_W250N4 I300T2
S263Y8_W250N4_I300T2 I200S2
S540L5_C420E7_W000E2 H100E4
S500N3_W200O3_A353S7 H616D7
S200E3_W120S5_F600R3 O600R3
S000O2_W000E2_D610E5 T000O2
S000O2_W000E2_D610E5 O500N2
S120K5_I500N2_T252S6 W000E2
S535S9_W600Y5_H000E2 W400L4
S200X3_W200S5_A200S2 I100F2
S520G6_T000O2_M000Y2 H600E4
S500N3_A412S6_E216S9 H200S3
S340L5_A000A1_M326R6 W200O3
S610E7_O500N2_T260E5 T250N4
S153T5_M600E4_H620S5 O500N2
S200K4_H200S3_F635E7 F600R3
S200E3_F623T5_P142D9 I500N2
S200E3_W200S3_N535N8 Y620S5
S300Y5_A300T2_J252S5 H125S7
S325R7_F410W6_I500N2 F235N7
S351D8_S263T5_S360Y5 C100E6
S263T5_S360Y5_C100E6 W200S3
S360Y5_C100E6_W200S3 P142D9
S423D8_B000Y2_J250N4 U132E6
S210W4_B200K4_T252K5 A000A1
S320H5_Y000U3_H100E4 T200E3
S616E8_R162S13_A600E3 F600R3
S500N3_T200E3_O100F2 O600R3
S415G8_B200S4_C265D11 W320H4
S510W4_M200Y6_T200E3 G562C7
S500E4_C432D8_I240O5 C462S7
S340L5_O326S6_H430D4 O500N2
S313D7_T200S4_L200E4 L252G7
S540L5_A653A7_G152G6 T200E3
S410W4_S540L5_L200E4 A432H8
